                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0148,                0.69863,                 1.2118,                0.78251,                0.74176,                0.75907,                0.38621,                 1.7692,                 1.1024,                 1.9869,              0.0017859,              0.0017859,              0.0017859
                     66,                 1.0116,                0.69781,                 1.2189,                0.76463,                0.64258,                0.75061,                0.37514,                 1.8477,                 1.2192,                 2.0243,              0.0017794,              0.0017794,              0.0017794
                     67,                0.99484,                0.68245,                 1.2068,                 0.7473,                0.63736,                0.71539,                0.35954,                 1.8749,                 1.2477,                 2.0544,              0.0017728,              0.0017728,              0.0017728
                     68,                0.98216,                0.65969,                 1.1847,                0.76789,                0.63187,                0.71693,                0.35875,                 1.8498,                 1.2502,                 1.9769,              0.0017662,              0.0017662,              0.0017662
                     69,                0.97019,                0.66519,                 1.1735,                0.75255,                0.75275,                0.77311,                0.38224,                 1.8492,                 1.0996,                 2.0175,              0.0017594,              0.0017594,              0.0017594
                     70,                0.96402,                0.65137,                 1.1765,                0.82521,                0.64852,                0.75684,                0.39224,                  1.784,                 1.1291,                 1.9366,              0.0017526,              0.0017526,              0.0017526
                     71,                 0.9663,                0.65558,                 1.1803,                0.80696,                0.67582,                0.73988,                0.35981,                 1.8489,                 1.2505,                 1.9868,              0.0017457,              0.0017457,              0.0017457
                     72,                0.95498,                0.64568,                 1.1757,                0.79363,                 0.6978,                0.78974,                0.39894,                 1.8012,                 1.1194,                 1.9893,              0.0017387,              0.0017387,              0.0017387
                     73,                0.96036,                0.64074,                 1.1761,                0.73548,                0.68681,                 0.7224,                0.38003,                 1.7672,                 1.1962,                   1.99,              0.0017317,              0.0017317,              0.0017317
                     74,                0.95379,                0.65078,                 1.1713,                0.79236,                0.59341,                0.71805,                0.38149,                 1.7612,                 1.3495,                 1.9106,              0.0017245,              0.0017245,              0.0017245
                     75,                0.91744,                0.61849,                 1.1628,                0.77369,                0.65385,                0.74754,                0.39944,                 1.7855,                 1.1945,                 1.9358,              0.0017173,              0.0017173,              0.0017173
                     76,                0.95069,                0.64766,                 1.1703,                0.74929,                0.65385,                0.71415,                0.37239,                 1.8169,                 1.2575,                 2.0063,                0.00171,                0.00171,                0.00171
                     77,                0.93576,                 0.6364,                 1.1572,                0.75637,                0.68132,                0.74773,                0.37108,                 1.8592,                 1.1368,                 2.0101,              0.0017027,              0.0017027,              0.0017027
                     78,                0.92904,                0.61225,                 1.1549,                 0.8135,                0.67582,                0.77344,                0.39903,                 1.7587,                 1.1535,                 1.9138,              0.0016952,              0.0016952,              0.0016952
                     79,                0.93397,                0.63911,                 1.1624,                0.77852,                0.65934,                0.73404,                0.37552,                 1.8036,                 1.1339,                 2.0092,              0.0016877,              0.0016877,              0.0016877
                     80,                0.94428,                0.63104,                 1.1693,                0.76243,                0.65246,                0.71352,                0.35916,                 1.8572,                 1.3245,                  1.963,              0.0016801,              0.0016801,              0.0016801
                     81,                0.90431,                0.61006,                 1.1431,                0.82718,                0.63736,                0.74406,                0.38039,                 1.8399,                 1.2301,                 1.9894,              0.0016724,              0.0016724,              0.0016724
                     82,                0.91538,                0.62474,                 1.1534,                0.74022,                0.68681,                0.71749,                 0.3702,                 1.8276,                 1.1962,                 2.0022,              0.0016647,              0.0016647,              0.0016647
                     83,                0.90941,                0.59609,                 1.1408,                0.70658,                 0.7033,                0.71108,                0.36745,                 1.8313,                 1.2263,                 1.9697,              0.0016569,              0.0016569,              0.0016569
                     84,                0.88468,                0.60206,                 1.1314,                0.79665,                0.69231,                0.75846,                0.38001,                 1.8188,                 1.1791,                 2.0343,               0.001649,               0.001649,               0.001649
                     85,                0.90041,                0.59533,                 1.1367,                0.74061,                0.73735,                0.74437,                0.37517,                 1.8151,                 1.1819,                 2.0685,               0.001641,               0.001641,               0.001641
